"Alder, vurdert",Dødsdato,Observasjons/Jaktdato,Tid_Mellom_Observasjon_Død,Funnsted_kort,RovbaseID,DNAID,Art,Bakgrunn/årsak,Kjønn,Helvekt,Funnsted,Fylke,Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Alder på dødt individ,Slaktevekt,Kommune,"Alder, vurdert",Dødsdato,Observasjons/Jaktdato
,1998-09-09,1998-09-09,0,Rullbo,M000118,D045406,Björn,Skyddsjakt,Hane,,"Rullbo, Vålberget",Gävleborgs län (S),6849896,489688,Osäker,,Ljusdal (S),,1998-09-09,1998-09-09
,1998-09-09,1998-09-09,0,Lenåsven-Hålldammen,M000119,D045000,Björn,Skyddsjakt,Hane,,Lenåsven-Hålldammen,Gävleborgs län (S),6735442,587671,Osäker,200,Sandviken (S),,1998-09-09,1998-09-09
2.0,1998-09-09,1998-09-09,0,Håkafot 1:7,M000121,D436920,Björn,Skyddsjakt,Hona,"80,60",Håkafot 1:7,Jämtlands län (S),7141515,470893,Vuxen,66,Strömsund (S),2,1998-09-09,1998-09-09
,1998-09-10,1998-09-10,0,Kammahav,M000122,D045002,Björn,Skyddsjakt,Hane,,Kammahav,Gävleborgs län (S),6794239,548158,Osäker,146,Ovanåker (S),,1998-09-10,1998-09-10
,1998-09-12,1998-09-12,0,Tranuberg,M000127,D045003,Björn,Skyddsjakt,Hona,,Tranuberg,Dalarnas län (S),6795095,471773,Osäker,,Orsa (S),,1998-09-12,1998-09-12
3.5,1998-09-14,1998-09-14,0,,M000128,D042328,Björn,Skyddsjakt,Hona,"119,40",,Dalarnas län (S),6766764,452130,Vuxen,,Mora (S),3-4,1998-09-14,1998-09-14
,1998-09-15,1998-09-15,0,Håven alternativt Hoven,M000129,D045005,Björn,Skyddsjakt,Hane,,Håven alternativt Hoven,Dalarnas län (S),6820933,507941,Osäker,112,Rättvik (S),,1998-09-15,1998-09-15
,1998-09-16,1998-09-16,0,Ryggesbo,M000130,D045004,Björn,Skyddsjakt,Hona,,Ryggesbo,Gävleborgs län (S),6818288,544661,Osäker,109,Ovanåker (S),,1998-09-16,1998-09-16
0.0,1998-10-03,1998-10-03,0,12 km N Edsbyn Lv 678,M000136,D045008,Björn,Kollision - väg,Okänt,,12 km N Edsbyn Lv 678,Gävleborgs län (S),6816990,536680,Unge,,Ovanåker (S),0,1998-10-03,1998-10-03
,1998-10-13,1998-10-13,0,Rv 84,M000138,D044992,Björn,Kollision - väg,Hane,"92,00","Rv 84, 4,2 km N Tännäs",Jämtlands län (S),6929392,380043,Osäker,,Härjedalen (S),,1998-10-13,1998-10-13
,1999-08-21,1999-08-21,0,Foskros,M000165,D045016,Björn,Skyddsjakt,Hona,,"Foskros, Sjöberget",Dalarnas län (S),6885311,379394,Osäker,,Älvdalen (S),,1999-08-21,1999-08-21
,1999-08-22,1999-08-22,0,Gussvattnet 1:33,M000175,D045021,Björn,Skyddsjakt,Hona,,Gussvattnet 1:33,Jämtlands län (S),7149901,467029,Osäker,,Strömsund (S),,1999-08-22,1999-08-22
,1999-08-24,1999-08-24,0,Vallåsen,M000178,D045022,Björn,Illegalt dödad,Hane,,Vallåsen,Västernorrlands län (S),7048909,551879,Osäker,,Sollefteå (S),,1999-08-24,1999-08-24
,1999-08-24,1999-08-24,0,Sömlingsdalen,M000179,D045426,Björn,Skyddsjakt,Hona,,Sömlingsdalen,Jämtlands län (S),6883894,402101,Osäker,,Härjedalen (S),,1999-08-24,1999-08-24
,1999-08-28,1999-08-28,0,Randijaure,M000183,D045010,Björn,Skyddsjakt,Hane,,Randijaure,Norrbottens län (S),7413900,689983,Osäker,,Jokkmokk (S),,1999-08-28,1999-08-28
,1999-08-28,1999-08-28,0,Storön 1:15,M000185,D045023,Björn,Skyddsjakt,Hane,,Storön 1:15,Jämtlands län (S),7068208,536440,Osäker,,Strömsund (S),,1999-08-28,1999-08-28
1.0,1999-09-01,1999-09-01,0,Kassivarri,M000188,D045011,Björn,Skyddsjakt,Hane,,Kassivarri,Norrbottens län (S),7424004,629464,Osäker,,Jokkmokk (S),1,1999-09-01,1999-09-01
,1999-09-01,1999-09-01,0,Furudal,M000189,D045017,Björn,Skyddsjakt,Hane,,"Furudal, Flotvägen",Dalarnas län (S),6782052,516518,Osäker,,Rättvik (S),,1999-09-01,1999-09-01
,1999-09-06,1999-09-06,0,Mullberget,M000195,D045025,Björn,Skyddsjakt,Hane,,Mullberget,Jämtlands län (S),6902270,513129,Osäker,,Härjedalen (S),,1999-09-06,1999-09-06
,1999-09-07,1999-09-07,0,Granön,M000198,D045026,Björn,Skyddsjakt,Hona,,Granön,Jämtlands län (S),7151945,517785,Osäker,,Strömsund (S),,1999-09-07,1999-09-07
,1999-09-10,1999-09-10,0,Ringvattnet,M000204,D045396,Björn,Skyddsjakt,Hane,,Ringvattnet,Jämtlands län (S),7115591,520446,Osäker,,Strömsund (S),,1999-09-10,1999-09-10
,1999-09-15,1999-09-15,0,Gangsberg,M000208,D045018,Björn,Skyddsjakt,Hona,,Gangsberg,Dalarnas län (S),6801014,473499,Osäker,,Orsa (S),,1999-09-15,1999-09-15
,1999-10-07,1999-10-07,0,Hornmyr MoDO 3:1,M000214,D045009,Björn,Skyddsjakt,Hane,,Hornmyr MoDO 3:1,Västerbottens län (S),7143651,664894,Osäker,,Lycksele (S),,1999-10-07,1999-10-07
,1999-10-22,1999-10-22,0,Kihlangi,M000219,D045014,Björn,Nödvärn,Hona,,"Kihlangi, Fridhemsplan",Norrbottens län (S),7527363,842792,Osäker,,Pajala (S),,1999-10-22,1999-10-22
6.0,2000-08-21,2000-08-21,0,Granlundavägen,M000238,D436707,Björn,Skyddsjakt,Hona,,"Granlundavägen, Grundfors",Västerbottens län (S),7222439,660051,Vuxen,,Lycksele (S),6,2000-08-21,2000-08-21
,2000-08-21,2000-08-21,0,4 km öster Prästbodarna,M000239,D044825,Björn,Skyddsjakt,Hane,,4 km öster Prästbodarna,Dalarnas län (S),6758161,532807,Osäker,,Rättvik (S),,2000-08-21,2000-08-21
,2000-08-21,2000-08-21,0,Kroknäset 1:22,M000243,D044840,Björn,Skyddsjakt,Hane,,"Kroknäset 1:22, Tåsjö",Jämtlands län (S),7119562,549786,Osäker,,Strömsund (S),,2000-08-21,2000-08-21
