"Alder, vurdert",Dødsdato,Observasjons/Jaktdato,Tid_Mellom_Observasjon_Død,Funnsted_kort,RovbaseID,DNAID,Art,Bakgrunn/årsak,Kjønn,Helvekt,Funnsted,Fylke,Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Alder på dødt individ,Slaktevekt,Kommune,"Alder, vurdert",Dødsdato,Observasjons/Jaktdato
,2002-09-05,2002-09-05,0,Skalvägen,M000447,D044895,Björn,Skyddsjakt,Hona,,Skalvägen,Jämtlands län (S),7091975,510648,Osäker,,Strömsund (S),,2002-09-05,2002-09-05
,2002-09-06,2002-09-06,0,Tjockelkullen,M000448,D044868,Björn,Skyddsjakt,Hane,,Tjockelkullen,Västerbottens län (S),7197219,536767,Osäker,76,Vilhelmina (S),,2002-09-06,2002-09-06
,2002-09-06,2002-09-06,0,Skorvdalsfjället,M000450,D044896,Björn,Skyddsjakt,Hona,,Skorvdalsfjället,Jämtlands län (S),6919959,448632,Osäker,,Härjedalen (S),,2002-09-06,2002-09-06
,2002-09-07,2002-09-07,0,Lögda 4:29,M000453,D044869,Björn,Skyddsjakt,Hane,,Lögda 4:29,Västerbottens län (S),7124812,664292,Osäker,,Åsele (S),,2002-09-07,2002-09-07
,2002-09-08,2002-09-08,0,Sälgeberget,M000457,D044897,Björn,Skyddsjakt,Hona,,Sälgeberget,Jämtlands län (S),6883311,435594,Osäker,,Härjedalen (S),,2002-09-08,2002-09-08
,2002-09-12,2002-09-12,0,Öster Kanonvägen norr om Våmhus ,M000459,D044882,Björn,Skyddsjakt,Hane,,Öster Kanonvägen norr om Våmhus ,Dalarnas län (S),6789142,461903,Osäker,,Mora (S),,2002-09-12,2002-09-12
,2002-09-12,2002-09-12,0,Untorpsvägen,M000460,D044883,Björn,Skyddsjakt,Hane,,"Untorpsvägen, Hansjö vvo",Dalarnas län (S),6796422,479100,Osäker,,Orsa (S),,2002-09-12,2002-09-12
,2002-09-14,2002-09-14,0,Holmträsket,M000462,D044870,Björn,Skyddsjakt,Hona,,Holmträsket,Västerbottens län (S),7229779,577176,Osäker,,Storuman (S),,2002-09-14,2002-09-14
,2002-09-27,2002-09-27,0,Engmarbäcken,M000467,D044874,Björn,Skyddsjakt,Hane,,Engmarbäcken,Norrbottens län (S),7327141,724564,Osäker,,Arvidsjaur (S),,2002-09-27,2002-09-27
,2002-09-27,2002-09-27,0,Engmarbäcken,M000467,D044874,Björn,Skyddsjakt,Hane,,Engmarbäcken,Norrbottens län (S),7327141,724564,Osäker,,Arvidsjaur (S),,2002-09-27,2002-09-27
,2002-09-28,2002-09-28,0,W Sjavajaur,M000470,D044876,Björn,Skyddsjakt,Hona,,"W Sjavajaur, nausta",Norrbottens län (S),7378567,695539,Osäker,,Jokkmokk (S),,2002-09-28,2002-09-28
,2002-09-29,2002-09-29,0,Prästholm,M000471,D044877,Björn,Skyddsjakt,Hona,,Prästholm,Norrbottens län (S),7324179,822396,Osäker,,Luleå (S),,2002-09-29,2002-09-29
,2002-10-06,2002-10-06,0,,M000472,D044886,Björn,Skyddsjakt,Hane,,,Gävleborgs län (S),6843053,509396,Osäker,,Ljusdal (S),,2002-10-06,2002-10-06
,2003-04-12,2003-04-12,0,Glissjöberg,M000475,D044941,Björn,Skyddsjakt,Hane,,Glissjöberg,Jämtlands län (S),6889222,452210,Osäker,,Härjedalen (S),,2003-04-12,2003-04-12
,2003-04-30,2003-04-30,0,Hoting,M000477,D044940,Björn,Sjukdom,Hane,,"Hoting, Brattbäcken",Jämtlands län (S),7127540,538049,Osäker,,Strömsund (S),,2003-04-30,2003-04-30
,2003-05-05,2003-05-05,0,Rätan,M000479,D044939,Björn,Kollision - väg,Hane,,Rätan,Jämtlands län (S),6932610,471491,Osäker,,Berg (S),,2003-05-05,2003-05-05
,2003-05-26,2003-05-26,0,Järnvägssträckan Myrheden-Träskholm,M000481,D044905,Björn,Kollision - järnväg,Hane,,Järnvägssträckan Myrheden-Träskholm,Västerbottens län (S),7248145,741562,Osäker,,Skellefteå (S),,2003-05-26,2003-05-26
0.0,2003-06-12,2003-06-12,0,Bredträsk,M000482,D044916,Björn,Avlivad av djurskyddsskäl,Hane,,"Bredträsk, Klöverträsk",Norrbottens län (S),7296878,802739,Osäker,,Luleå (S),0,2003-06-12,2003-06-12
,2003-08-21,2003-08-21,0,Tenningsån,M000486,D044917,Björn,Skyddsjakt,Hona,,"Tenningsån, Torsmo",Dalarnas län (S),6792255,500479,Osäker,,Orsa (S),,2003-08-21,2003-08-21
,2003-08-23,2003-08-23,0,Fågelåsen,M000493,D044929,Björn,Skyddsjakt,Hane,,"Fågelåsen, ca 2 mil S Dravagen",Jämtlands län (S),6871734,425286,Osäker,,Härjedalen (S),,2003-08-23,2003-08-23
,2003-08-25,2003-08-25,0,Ransjö-Nybodarna,M000495,D044930,Björn,Skyddsjakt,Hane,,Ransjö-Nybodarna,Jämtlands län (S),6893871,426173,Osäker,,Härjedalen (S),,2003-08-25,2003-08-25
,2003-09-01,2003-09-01,0,,M000509,D044908,Björn,Skyddsjakt,Hona,,,Norrbottens län (S),7457147,763183,Osäker,,Gällivare (S),,2003-09-01,2003-09-01
,2003-09-01,2003-09-01,0,Teune,M000510,D044907,Björn,Skyddsjakt,Hane,,Teune,Norrbottens län (S),7441523,672071,Osäker,,Jokkmokk (S),,2003-09-01,2003-09-01
,2003-09-01,2003-09-01,0,Järvivinsa,M000511,D044909,Björn,Skyddsjakt,Hane,,Järvivinsa,Norrbottens län (S),7486867,859064,Osäker,,Pajala (S),,2003-09-01,2003-09-01
,2003-09-01,2003-09-01,0,Toravaara,M000512,D044906,Björn,Skyddsjakt,Hona,,Toravaara,Norrbottens län (S),7499714,844993,Osäker,,Pajala (S),,2003-09-01,2003-09-01
,2003-09-01,2003-09-01,0,Björnmyren,M000516,D044932,Björn,Skyddsjakt,Hane,,"Björnmyren, Stockholm, Lillhärdal",Jämtlands län (S),6861981,432411,Osäker,,Härjedalen (S),,2003-09-01,2003-09-01
,2003-09-01,2003-09-01,0,NO Stornäsudden,M000517,D044931,Björn,Skyddsjakt,Hona,,"NO Stornäsudden, V. Havsnäs",Jämtlands län (S),7107100,543616,Osäker,,Strömsund (S),,2003-09-01,2003-09-01
,2003-09-03,2003-09-03,0,Ö Tväråsen,M000524,D044933,Björn,Skyddsjakt,Hona,,Ö Tväråsen,Jämtlands län (S),6864260,430833,Osäker,,Härjedalen (S),,2003-09-03,2003-09-03
,2003-09-03,2003-09-03,0,Lermosätern,M000525,D044934,Björn,Skyddsjakt,Hane,,"Lermosätern, V Gäddede",Jämtlands län (S),7162681,454507,Osäker,,Strömsund (S),,2003-09-03,2003-09-03
,2003-09-04,2003-09-04,0,Manselkämaa,M000527,D044910,Björn,Skyddsjakt,Hona,,Manselkämaa,Norrbottens län (S),7542804,740789,Osäker,,Kiruna (S),,2003-09-04,2003-09-04
,2003-09-04,2003-09-04,0,Hedningstjärnarna,M000530,D044935,Björn,Skyddsjakt,Hona,,Hedningstjärnarna,Jämtlands län (S),6883364,430985,Osäker,,Härjedalen (S),,2003-09-04,2003-09-04
,2003-09-05,2003-09-05,0,Neitokape,M000533,D044911,Björn,Skyddsjakt,Hona,,Neitokape,Norrbottens län (S),7508088,710331,Osäker,,Gällivare (S),,2003-09-05,2003-09-05
,2003-09-06,2003-09-06,0,Nybränna,M000540,D044936,Björn,Skyddsjakt,Hane,,"Nybränna, 6-7 km Ö masten i Tåsjöberg. Livbodarna",Jämtlands län (S),7118178,548166,Osäker,,Strömsund (S),,2003-09-06,2003-09-06
,2003-09-08,2003-09-08,0,Ransjö-Nybodarna,M000545,D044937,Björn,Skyddsjakt,Hane,,Ransjö-Nybodarna,Jämtlands län (S),6900566,448574,Osäker,,Härjedalen (S),,2003-09-08,2003-09-08
,2003-09-08,2003-09-08,0,Lövberg,M000546,D045394,Björn,Skyddsjakt,Hona,,Lövberg,Jämtlands län (S),7092326,539926,Osäker,,Strömsund (S),,2003-09-08,2003-09-08
,2003-09-10,2003-09-10,0,Rassadjakvaras,M000552,D044913,Björn,Skyddsjakt,Hane,,Rassadjakvaras,Norrbottens län (S),7560321,682073,Osäker,,Kiruna (S),,2003-09-10,2003-09-10
,2003-10-07,2003-10-07,0,RV 95,M000563,D044903,Björn,Kollision - väg,Hane,,"RV 95, 1-2 km V Svanström",Västerbottens län (S),7202917,759885,Osäker,,Skellefteå (S),,2003-10-07,2003-10-07
,2003-10-18,2003-10-18,0,Infartssignalen till Bergfors från S.,M000566,D044915,Björn,Kollision - järnväg,Hane,,Infartssignalen till Bergfors från S.,Norrbottens län (S),7566945,698560,Osäker,,Kiruna (S),,2003-10-18,2003-10-18
,2003-10-25,2003-10-25,0,Untorp,M000567,D044921,Björn,Nödvärn,Hane,"84,00","Untorp, Västbyfloten",Dalarnas län (S),6805172,472608,Vuxen,,Orsa (S),,2003-10-25,2003-10-25
,2003-11-22,2003-11-22,0,E10 strax söder om Skrövenbron,M000568,D044914,Björn,Illegalt dödad,Hane,,E10 strax söder om Skrövenbron,Norrbottens län (S),7425014,799285,Osäker,,Gällivare (S),,2003-11-22,2003-11-22
,1995-06-15,1995-06-15,0,Fettjeåfallet,M004483,D061483,Björn,Dödad av annat djur,Hona,"33,00","Fettjeåfallet, Klövsjö",Jämtlands län (S),6933832,454956,Osäker,,Berg (S),,1995-06-15,1995-06-15
6.0,2000-11-03,2000-11-03,0,Kullvallen,M004586,D061586,Björn,Nödvärn,Hona,,"Kullvallen, Ängersjö",Jämtlands län (S),6865505,491674,Osäker,,Härjedalen (S),6,2000-11-03,2000-11-03
,1981-04-28,1981-04-28,0,5 km S. om Kåbdalis,M040000,D045437,Björn,Illegalt dödad,Hona,,"5 km S. om Kåbdalis, Rv 343.",Norrbottens län (S),7340059,725431,Osäker,,Jokkmokk (S),,1981-04-28,1981-04-28
,1985-08-09,1985-08-09,0,,M040001,D045438,Björn,Skyddsjakt,Hona,"110,00",,Dalarnas län (S),6793311,456801,Vuxen,,Mora (S),,1985-08-09,1985-08-09
8.0,1986-09-01,1986-09-01,0,,M040002,D045439,Björn,Skyddsjakt,Hane,"183,00",,Norrbottens län (S),7319497,596021,Vuxen,,Arjeplog (S),8,1986-09-01,1986-09-01
13.0,1986-09-03,1986-09-03,0,,M040003,D045440,Björn,Illegalt dödad,Hona,"112,00",,Norrbottens län (S),7535959,788883,Vuxen,,Kiruna (S),13,1986-09-03,1986-09-03
6.0,1986-09-13,1986-09-13,0,,M040004,D045441,Björn,Illegalt dödad,Hona,"116,00",,Norrbottens län (S),7465286,852000,Osäker,,Pajala (S),6,1986-09-13,1986-09-13
,1986-09-02,1986-09-02,0,,M040005,D045442,Björn,Skyddsjakt,Hane,"198,00",,Jämtlands län (S),6829996,464844,Vuxen,,Härjedalen (S),,1986-09-02,1986-09-02
,1986-09-09,1986-09-09,0,,M040007,D045444,Björn,Skyddsjakt,Hane,"44,90",,Jämtlands län (S),6868822,476158,Osäker,,Härjedalen (S),,1986-09-09,1986-09-09
,1986-09-09,1986-09-09,0,,M040008,D045445,Björn,Skyddsjakt,Hane,"110,00",,Jämtlands län (S),6912322,437432,Vuxen,,Härjedalen (S),,1986-09-09,1986-09-09
,1986-09-11,1986-09-11,0,,M040009,D045446,Björn,Skyddsjakt,Hona,"109,00",,Jämtlands län (S),6920992,411235,Vuxen,,Härjedalen (S),,1986-09-11,1986-09-11
,1987-09-05,1987-09-05,0,,M040010,D045447,Björn,Skyddsjakt,Hane,"35,90",,Norrbottens län (S),7538757,735153,Osäker,,Kiruna (S),,1987-09-05,1987-09-05
2.0,1987-09-17,1987-09-17,0,,M040011,D045448,Björn,Skyddsjakt,Hane,"55,00",,Norrbottens län (S),7304389,781884,Vuxen,,Älvsbyn (S),2,1987-09-17,1987-09-17
4.0,1988-09-06,1988-09-06,0,,M040012,D045449,Björn,Skyddsjakt,Hane,"175,00",,Norrbottens län (S),7506861,750467,Vuxen,,Kiruna (S),4,1988-09-06,1988-09-06
,1988-09-01,1988-09-01,0,,M040013,D045450,Björn,Skyddsjakt,Hane,"105,00",,Norrbottens län (S),7471021,677744,Vuxen,,Gällivare (S),,1988-09-01,1988-09-01
6.0,1988-09-10,1988-09-10,0,,M040014,D045451,Björn,Skyddsjakt,Hane,"161,00",,Norrbottens län (S),7384524,792850,Vuxen,,Gällivare (S),6,1988-09-10,1988-09-10
1.0,1988-09-08,1988-09-08,0,,M040015,D045452,Björn,Skyddsjakt,Hane,"61,30",,Norrbottens län (S),7325387,704123,Vuxen,,Arvidsjaur (S),1,1988-09-08,1988-09-08
,1988-09-09,1988-09-09,0,,M040016,D045453,Björn,Skyddsjakt,Hona,"55,40",,Norrbottens län (S),7363335,793624,Vuxen,,Boden (S),,1988-09-09,1988-09-09
7.0,1988-09-18,1988-09-18,0,,M040017,D045454,Björn,Skyddsjakt,Hona,"142,00",,Norrbottens län (S),7305418,784170,Vuxen,,Boden (S),7,1988-09-18,1988-09-18
1.0,1988-09-16,1988-09-16,0,,M040018,D045455,Björn,Skyddsjakt,Hane,"44,90",,Jämtlands län (S),6901917,428665,Vuxen,,Härjedalen (S),1,1988-09-16,1988-09-16
,1988-09-07,1988-09-07,0,,M040019,D045456,Björn,Skyddsjakt,Hane,"56,80",,Jämtlands län (S),7083902,496755,Vuxen,,Krokom (S),,1988-09-07,1988-09-07
,1988-09-08,1988-09-08,0,,M040020,D045457,Björn,Skyddsjakt,Hona,"35,90",,Jämtlands län (S),7080774,478601,Vuxen,,Krokom (S),,1988-09-08,1988-09-08
6.0,1989-09-13,1989-09-13,0,,M040021,D045458,Björn,Skyddsjakt,Hona,"118,00",,Västerbottens län (S),7191799,538672,Vuxen,,Vilhelmina (S),6,1989-09-13,1989-09-13
5.0,1989-09-12,1989-09-12,0,,M040022,D045459,Björn,Skyddsjakt,Hona,"116,00",,Norrbottens län (S),7391071,750170,Vuxen,,Jokkmokk (S),5,1989-09-12,1989-09-12
3.0,1989-09-14,1989-09-14,0,,M040023,D045460,Björn,Skyddsjakt,Hona,"112,00",,Norrbottens län (S),7410865,718918,Vuxen,,Jokkmokk (S),3,1989-09-14,1989-09-14
,1989-09-14,1989-09-14,0,,M040024,D045461,Björn,Skyddsjakt,Hane,"59,20",,Norrbottens län (S),7394209,729932,Vuxen,,Jokkmokk (S),,1989-09-14,1989-09-14
1.0,1989-09-04,1989-09-04,0,,M040025,D045462,Björn,Skyddsjakt,Hane,"102,00",,Norrbottens län (S),7275977,749552,Vuxen,,Piteå (S),1,1989-09-04,1989-09-04
11.0,1989-09-09,1989-09-09,0,,M040026,D045463,Björn,Skyddsjakt,Hona,"148,00",,Norrbottens län (S),7499727,778457,Osäker,,Kiruna (S),11,1989-09-09,1989-09-09
1.0,1989-09-17,1989-09-17,0,,M040027,D045464,Björn,Skyddsjakt,Hane,"138,00",,Norrbottens län (S),7478021,770140,Osäker,,Gällivare (S),1,1989-09-17,1989-09-17
1.0,1989-09-06,1989-09-06,0,,M040028,D045465,Björn,Skyddsjakt,Hona,"97,00",,Norrbottens län (S),7474107,838286,Vuxen,,Pajala (S),1,1989-09-06,1989-09-06
1.0,1989-09-17,1989-09-17,0,,M040029,D045466,Björn,Skyddsjakt,Hane,"73,60",,Västernorrlands län (S),7044401,567031,Osäker,,Sollefteå (S),1,1989-09-17,1989-09-17
1.0,1989-09-18,1989-09-18,0,,M040030,D045467,Björn,Skyddsjakt,Hona,"50,80",,Jämtlands län (S),7119421,514999,Vuxen,,Strömsund (S),1,1989-09-18,1989-09-18
4.0,1989-09-19,1989-09-19,0,,M040031,D045468,Björn,Skyddsjakt,Hona,"103,00",,Jämtlands län (S),7128096,497495,Vuxen,,Strömsund (S),4,1989-09-19,1989-09-19
15.0,1989-09-19,1989-09-19,0,,M040032,D045469,Björn,Skyddsjakt,Hane,"246,00",,Jämtlands län (S),7113369,518675,Vuxen,,Strömsund (S),15,1989-09-19,1989-09-19
2.0,1990-09-03,1990-09-03,0,,M040033,D045470,Björn,Skyddsjakt,Hane,"117,00",,Västerbottens län (S),7189121,626683,Vuxen,,Storuman (S),2,1990-09-03,1990-09-03
3.0,1990-09-14,1990-09-14,0,,M040035,D045472,Björn,Skyddsjakt,Hona,"98,50",,Jämtlands län (S),7149680,473230,Vuxen,,Strömsund (S),3,1990-09-14,1990-09-14
3.0,1990-09-19,1990-09-19,0,,M040036,D045473,Björn,Skyddsjakt,Hona,,,Jämtlands län (S),6912896,427329,Vuxen,,Härjedalen (S),3,1990-09-19,1990-09-19
,1990-10-13,1990-10-13,0,,M040037,D045474,Björn,Skyddsjakt,Hane,"76,20",,Jämtlands län (S),7151600,467008,Osäker,,Strömsund (S),,1990-10-13,1990-10-13
7.0,1991-09-01,1991-09-01,0,,M040038,D045475,Björn,Skyddsjakt,Hane,"292,00",,Västerbottens län (S),7183056,739241,Vuxen,,Norsjö (S),7,1991-09-01,1991-09-01
2.0,1991-09-02,1991-09-02,0,,M040039,D045476,Björn,Skyddsjakt,Hane,,,Västerbottens län (S),7300531,567172,Vuxen,,Sorsele (S),2,1991-09-02,1991-09-02
1.0,1991-09-15,1991-09-15,0,,M040040,D045477,Björn,Skyddsjakt,Hane,"98,00",,Västerbottens län (S),7156728,587304,Vuxen,,Vilhelmina (S),1,1991-09-15,1991-09-15
1.0,1991-09-03,1991-09-03,0,,M040041,D045478,Björn,Skyddsjakt,Hona,"79,00",,Norrbottens län (S),7519470,735904,Vuxen,,Kiruna (S),1,1991-09-03,1991-09-03
7.0,1991-09-03,1991-09-03,0,,M040043,D045480,Björn,Skyddsjakt,Hona,"99,00",,Norrbottens län (S),7407698,752354,Vuxen,,Jokkmokk (S),7,1991-09-03,1991-09-03
2.0,1991-09-04,1991-09-04,0,,M040044,D045481,Björn,Skyddsjakt,Hona,"76,00",,Norrbottens län (S),7412140,709303,Vuxen,,Jokkmokk (S),2,1991-09-04,1991-09-04
4.0,1991-09-05,1991-09-05,0,,M040045,D045482,Björn,Skyddsjakt,Hane,"140,00",,Norrbottens län (S),7361466,733954,Vuxen,,Jokkmokk (S),4,1991-09-05,1991-09-05
1.0,1991-09-05,1991-09-05,0,,M040046,D045483,Björn,Skyddsjakt,Hona,"99,00",,Norrbottens län (S),7480652,826401,Vuxen,,Pajala (S),1,1991-09-05,1991-09-05
2.0,1991-09-05,1991-09-05,0,,M040047,D045484,Björn,Skyddsjakt,Hane,"96,00",,Norrbottens län (S),7390168,788577,Vuxen,,Gällivare (S),2,1991-09-05,1991-09-05
4.0,1991-09-06,1991-09-06,0,,M040048,D045485,Björn,Skyddsjakt,Hona,"91,00",,Norrbottens län (S),7410011,699332,Vuxen,,Jokkmokk (S),4,1991-09-06,1991-09-06
,1991-09-07,1991-09-07,0,,M040049,D045486,Björn,Skyddsjakt,Hona,"133,00",,Norrbottens län (S),7270390,727126,Vuxen,,Piteå (S),,1991-09-07,1991-09-07
14.0,1991-09-08,1991-09-08,0,,M040050,D045487,Björn,Nödvärn,Hane,"247,00",,Norrbottens län (S),7483724,808862,Vuxen,,Pajala (S),14,1991-09-08,1991-09-08
,1991-09-10,1991-09-10,0,,M040051,D045488,Björn,Skyddsjakt,Hane,"139,00",,Dalarnas län (S),6779759,525144,Vuxen,,Rättvik (S),,1991-09-10,1991-09-10
,1991-09-21,1991-09-21,0,,M040052,D045489,Björn,Skyddsjakt,Hane,,,Dalarnas län (S),6818185,471688,Osäker,,Orsa (S),,1991-09-21,1991-09-21
0.0,1991-10-16,1991-10-16,0,,M040053,D045490,Björn,Dödad av annat djur,Hane,"23,00",,Gävleborgs län (S),6820986,544528,Unge,,Ovanåker (S),0,1991-10-16,1991-10-16
1.0,1991-09-01,1991-09-01,0,,M040054,D045491,Björn,Skyddsjakt,Hane,"49,00",,Jämtlands län (S),6946029,407124,Osäker,,Härjedalen (S),1,1991-09-01,1991-09-01
2.0,1991-09-02,1991-09-02,0,,M040055,D045492,Björn,Skyddsjakt,Hona,"102,00",,Jämtlands län (S),7059279,478372,Vuxen,,Krokom (S),2,1991-09-02,1991-09-02
22.0,1991-09-05,1991-09-05,0,,M040056,D045493,Björn,Skyddsjakt,Hane,"288,00",,Jämtlands län (S),6897218,428524,Vuxen,,Härjedalen (S),22,1991-09-05,1991-09-05
2.0,1991-09-10,1991-09-10,0,,M040057,D045494,Björn,Skyddsjakt,Hona,"62,00",,Jämtlands län (S),6863206,482826,Vuxen,,Härjedalen (S),2,1991-09-10,1991-09-10
2.0,1991-09-10,1991-09-10,0,,M040058,D045495,Björn,Nödvärn,Hona,"87,00",,Jämtlands län (S),7072585,495099,Vuxen,,Krokom (S),2,1991-09-10,1991-09-10
4.0,1991-09-13,1991-09-13,0,,M040059,D045496,Björn,Skyddsjakt,Hane,"134,00",,Jämtlands län (S),6969654,401931,Vuxen,,Berg (S),4,1991-09-13,1991-09-13
2.0,1991-09-13,1991-09-13,0,,M040060,D045497,Björn,Skyddsjakt,Hane,"72,00",,Jämtlands län (S),6894960,447944,Vuxen,,Härjedalen (S),2,1991-09-13,1991-09-13
2.0,1991-09-13,1991-09-13,0,,M040061,D045498,Björn,Skyddsjakt,Hona,"100,00",,Jämtlands län (S),6845050,429372,Vuxen,,Härjedalen (S),2,1991-09-13,1991-09-13
1.0,1991-09-14,1991-09-14,0,,M040062,D045499,Björn,Skyddsjakt,Hona,"60,00",,Jämtlands län (S),7110786,535702,Osäker,,Strömsund (S),1,1991-09-14,1991-09-14
5.0,1991-11-01,1991-11-01,0,,M040064,D045501,Björn,Nödvärn,Hona,"171,00",,Jämtlands län (S),7106113,529813,Vuxen,,Strömsund (S),5,1991-11-01,1991-11-01
6.0,1992-09-01,1992-09-01,0,,M040065,D045502,Björn,Skyddsjakt,Hane,"239,00",,Västerbottens län (S),7225117,548744,Vuxen,,Vilhelmina (S),6,1992-09-01,1992-09-01
2.0,1992-09-08,1992-09-08,0,,M040066,D045503,Björn,Skyddsjakt,Hane,"106,00",,Västerbottens län (S),7178126,548343,Vuxen,,Vilhelmina (S),2,1992-09-08,1992-09-08
5.0,1992-09-21,1992-09-21,0,,M040067,D045504,Björn,Skyddsjakt,Hane,"145,00",,Västerbottens län (S),7175430,540780,Vuxen,,Dorotea (S),5,1992-09-21,1992-09-21
2.0,1992-10-11,1992-10-11,0,,M040068,D045505,Björn,Skyddsjakt,Hane,"132,00",,Västerbottens län (S),7221368,654465,Vuxen,,Lycksele (S),2,1992-10-11,1992-10-11
2.0,1992-09-07,1992-09-07,0,,M040069,D045506,Björn,Skyddsjakt,Hane,"140,00",,Norrbottens län (S),7482850,803174,Vuxen,,Pajala (S),2,1992-09-07,1992-09-07
1.0,1992-09-07,1992-09-07,0,,M040070,D045507,Björn,Skyddsjakt,Hona,"61,00",,Norrbottens län (S),7336259,779774,Osäker,,Boden (S),1,1992-09-07,1992-09-07
1.0,1992-09-07,1992-09-07,0,,M040071,D045508,Björn,Skyddsjakt,Hane,"69,00",,Norrbottens län (S),7492713,792747,Osäker,,Gällivare (S),1,1992-09-07,1992-09-07
1.0,1992-09-08,1992-09-08,0,,M040072,D045509,Björn,Skyddsjakt,Hane,"80,00",,Norrbottens län (S),7431911,769039,Osäker,,Gällivare (S),1,1992-09-08,1992-09-08
1.0,1992-09-08,1992-09-08,0,,M040073,D045510,Björn,Skyddsjakt,Hane,"56,00",,Norrbottens län (S),7506007,730981,Osäker,,Gällivare (S),1,1992-09-08,1992-09-08
11.0,1992-09-10,1992-09-10,0,,M040074,D045511,Björn,Skyddsjakt,Hane,"251,00",,Norrbottens län (S),7534990,798895,Vuxen,,Kiruna (S),11,1992-09-10,1992-09-10
15.0,1992-09-10,1992-09-10,0,,M040075,D045512,Björn,Skyddsjakt,Hane,"201,00",,Norrbottens län (S),7531475,851338,Vuxen,,Pajala (S),15,1992-09-10,1992-09-10
2.0,1992-09-11,1992-09-11,0,,M040076,D045513,Björn,Skyddsjakt,Hona,"94,00",,Norrbottens län (S),7307434,645365,Vuxen,,Arjeplog (S),2,1992-09-11,1992-09-11
2.0,1992-09-13,1992-09-13,0,,M040077,D045514,Björn,Skyddsjakt,Hona,"78,00",,Norrbottens län (S),7414686,674276,Vuxen,,Jokkmokk (S),2,1992-09-13,1992-09-13
,2010-01-01,2010-01-01,0,,M040080,D045517,Björn,Okänd,Hane,,,Dalarnas län (S),6785269,453102,Osäker,,Älvdalen (S),,2010-01-01,2010-01-01
1.0,1992-07-05,1992-07-05,0,,M040081,D045518,Björn,Dödad av annat djur,Hane,"66,00",,Gävleborgs län (S),6839607,498313,Osäker,,Ljusdal (S),1,1992-07-05,1992-07-05
1.0,1992-09-07,1992-09-07,0,,M040082,D045519,Björn,Skyddsjakt,Hane,,,Jämtlands län (S),6887164,423851,Osäker,,Härjedalen (S),1,1992-09-07,1992-09-07
4.0,1992-09-01,1992-09-01,0,,M040083,D045520,Björn,Skyddsjakt,Hane,"134,00",,Jämtlands län (S),6897218,428524,Vuxen,,Härjedalen (S),4,1992-09-01,1992-09-01
1.0,1992-09-07,1992-09-07,0,,M040084,D045521,Björn,Skyddsjakt,Hane,"57,00",,Jämtlands län (S),6887164,423851,Osäker,,Härjedalen (S),1,1992-09-07,1992-09-07
1.0,1992-09-08,1992-09-08,0,,M040085,D045522,Björn,Skyddsjakt,Hane,"60,00",,Jämtlands län (S),6867655,486869,Osäker,,Härjedalen (S),1,1992-09-08,1992-09-08
21.0,1992-09-09,1992-09-09,0,,M040086,D045523,Björn,Skyddsjakt,Hane,"229,00",,Jämtlands län (S),7100143,547833,Vuxen,,Strömsund (S),21,1992-09-09,1992-09-09
9.0,1992-09-11,1992-09-11,0,,M040087,D045524,Björn,Skyddsjakt,Hane,"203,00",,Jämtlands län (S),7140838,524824,Vuxen,,Strömsund (S),9,1992-09-11,1992-09-11
5.0,1992-09-12,1992-09-12,0,,M040088,D045525,Björn,Skyddsjakt,Hona,"92,00",,Jämtlands län (S),7116020,554330,Vuxen,,Strömsund (S),5,1992-09-12,1992-09-12
4.0,1992-09-12,1992-09-12,0,,M040089,D045526,Björn,Skyddsjakt,Hane,"149,00",,Jämtlands län (S),6891900,483169,Vuxen,,Härjedalen (S),4,1992-09-12,1992-09-12
1.0,1992-09-13,1992-09-13,0,,M040090,D045527,Björn,Skyddsjakt,Hane,"79,00",,Jämtlands län (S),7097505,505280,Osäker,,Strömsund (S),1,1992-09-13,1992-09-13
3.0,1992-09-25,1992-09-25,0,,M040091,D045528,Björn,Skyddsjakt,Hona,"121,00",,Jämtlands län (S),7174124,485215,Vuxen,,Strömsund (S),3,1992-09-25,1992-09-25
1.0,1992-09-30,1992-09-30,0,,M040092,D045529,Björn,Skyddsjakt,Hane,"101,00",,Jämtlands län (S),7114178,519364,Vuxen,,Strömsund (S),1,1992-09-30,1992-09-30
2.0,1992-10-15,1992-10-15,0,,M040093,D045530,Björn,Skyddsjakt,Hona,"130,00",,Jämtlands län (S),7117100,513329,Vuxen,,Strömsund (S),2,1992-10-15,1992-10-15
12.0,1993-08-23,1993-08-23,0,,M040105,D045542,Björn,Skyddsjakt,Hona,"124,00",,Norrbottens län (S),7545947,719161,Vuxen,,Kiruna (S),12,1993-08-23,1993-08-23
1.0,1993-08-29,1993-08-29,0,,M040106,D045543,Björn,Skyddsjakt,Hane,,,Norrbottens län (S),7405050,841382,Osäker,,Överkalix (S),1,1993-08-29,1993-08-29
1.0,1993-09-09,1993-09-09,0,,M040107,D045544,Björn,Skyddsjakt,Hane,"94,00",,Norrbottens län (S),7320501,759579,Osäker,,Älvsbyn (S),1,1993-09-09,1993-09-09
1.0,1993-09-20,1993-09-20,0,,M040109,D045546,Björn,Skyddsjakt,Hane,"56,00",,Norrbottens län (S),7423204,637173,Osäker,,Jokkmokk (S),1,1993-09-20,1993-09-20
